Name,Summary,Average Runtime,Premiere Date,Genres,Type,Language,Network,Rating,Schedule (days),Total Seasons,Total Episodes
Defying Gravity,"Hurtling into the vast challenge of infinite space, the eight astronauts and the ground personnel who support them are on a mission that has a powerful and awesome mystery at its core. The intimate and interconnected relationships among the astronauts and the ground crew, as well as their past actions, have a strangely karmic effect on the present. Episodes are divided between the present, as the Antares travels towards Venus, and the past, with flashbacks to earlier years when the astronauts were in the grueling selection and training process.",60,10/23/2009,"['Drama', 'Science-Fiction', 'Thriller']",Scripted,English,CTV,7.8,['Sunday'],1,13
Scandal,"Everyone has secrets… and Olivia Pope has dedicated her life to protecting and defending the public images of the nation's elite by keeping those secrets under wraps. Pope's team are at the top of their game when it comes to getting the job done for their clients, but it becomes apparent that these ""gladiators in suits"", who specialize in fixing the lives of other people, have trouble fixing those closest at hand -- their own.",60,4/19/2018,"['Drama', 'Thriller']",Scripted,English,ABC,7.8,['Thursday'],7,124
XIII: The Series,XIII: The Series is a follow up to the TV movie: XIII: The Prodigy. A man suffering from amnesia tries to uncover his past in this action filled canadian show.,60,11/19/2012,"['Action', 'Adventure']",Scripted,English,Showcase,7.8,['Wednesday'],2,26
Hart of Dixie,"Fast-talking New Yorker and brand new doctor Zoe Hart has it all figured out - after graduating top of her class from medical school, she'll follow in her father's footsteps and become a cardio-thoracic surgeon. But when her dreams fall apart, Zoe decides to accept an offer from a stranger, Dr. Harley Wilkes, to work with him at his small practice in Bluebell, Alabama. Zoe arrives in this small Gulf Coast town only to find that Harley has passed away and left his half of the medical practice to her in his will.",60,3/27/2015,"['Drama', 'Comedy', 'Romance']",Scripted,English,The CW,7.8,['Friday'],4,76
Tyrant,Tyrant is a drama that follows a typical American family whose members find themselves embroiled in the geopolitical intrigue of a volatile Middle Eastern country. Barry Al-Fayeed is a California pediatrician who also happens to be the second son of a Middle Eastern dictator. Barry reluctantly agrees to return home with his American family for his nephew's wedding. Events thrust him into the complex and turbulent growing pains of a nation straining to break free from dictatorial rule.,64,9/7/2016,"['Drama', 'Thriller']",Scripted,English,FX,7.8,['Wednesday'],3,32
Everwood,"As a world-class neurosurgeon, Dr. Andrew Brown is a hero. As a father, he's a zero. But that is changing. Tragedy makes him a single parent to his two children. And as the first act of his new life, Andy leaves Manhattan and moves his family to Everwood, the tiny Colorado town where big dreams can grow.",60,6/5/2006,"['Drama', 'Family', 'Romance']",Scripted,English,The WB,7.8,['Monday'],4,89
The Hour,"A behind-the-scenes drama and espionage thriller in Cold War-era England that centers on a journalist, a producer, and an anchorman for an investigative news programme.",60,12/13/2012,"['Drama', 'Thriller', 'Espionage']",Scripted,English,BBC Two,7.8,['Wednesday'],2,12
Chasing Life,"April is a smart, charismatic and quick witted twenty-something aspiring journalist. When not pursuing the latest scoop, April tries to balance her ambitious career with her family, which includes her widowed mom Sara rebellious little sister Brenna and her grandmother We meet April at a pivotal moment in her life: she's landed a fantastic opportunity to impress her hard-nosed Boston newspaper editor and an office romance with her super-sexy co-worker Dominic is just beginning to blossom. In an unexpected twist of fate, April lands in the hospital where her estranged uncle, George works as an oncologist, and she learns the devastating news that she has cancer. The series follows April through her journey in the face of this daunting revelation, during a time in her life when the challenges of finding love and success would be enough to keep any girl occupied. But April is determined to fight and refuses to give up her dreams and goals. Along the way, she'll find new reserves of strength and passion within and discover that facing death may really be the only way to truly live.",60,9/28/2015,"['Drama', 'Romance', 'Medical']",Scripted,English,Freeform,7.8,['Monday'],2,34
Dollhouse,"In Dollhouse, Echo is an ""Active,"" a member of a highly illegal and underground group of individuals who have had their personalities wiped clean so they can be imprinted with any number of new personas. Hired by the wealthy, powerful and connected, the Actives don't just perform their hired roles; they wholly become - with mind, personality and physiology - whomever the client wants or needs them to be. Whether imprinted to be a lover, an assassin, a corporate negotiator or a best friend, the Actives know no other life than the specific engagements they are in at that time.",60,1/29/2010,"['Action', 'Science-Fiction']",Scripted,English,FOX,7.8,['Friday'],2,26
Sirens,"From the distinct comedic point of view of Denis Leary and Bob Fisher, Sirens follows three of Chicago's best EMTs whose sometimes silly, self-righteous and even self-destructive personalities make them unqualified for sustaining relationships, friendships and most occupations. They are, however, uniquely qualified for saving anyone who winds up in their ambulance. Johnny is a good-looking, sports-loving, Chicago EMT working with his best friend Hank. Brian is a wide-eyed and excitable new EMT who still lives with his parents. Theresa, a smart female cop with the Chicago PD still loves her ex Johnny, but ultimately has to move on when he wouldn't commit.",30,4/14/2015,['Comedy'],Scripted,English,USA Network,7.8,['Tuesday'],2,23
FlashForward,"What would you do if you were given a glimpse of the future? Would you accept what you saw and live life to its fullest, or would you do everything in your power to change your destiny? When the world's population is given a glimpse of their future, it forces everyone to come to grips with whether their destinies can be fulfilled or avoided.",60,5/27/2010,"['Drama', 'Crime', 'Science-Fiction']",Scripted,English,ABC,7.8,['Thursday'],1,22
Wolf Lake,"Seattle police detective John Kanin, finds his world turned upsidedown when his girlfriend Ruby mysteriously disappears one night after leaving his apartment. After months of searching, an anonymous tip leads Kanin back to Ruby's hometown Wolf Lake, a place where the residents are hiding a dark secret.(Nine episodes were produced, but only five aired before the series was canceled by CBS. The full series, including the four unaired episodes, was later picked up and broadcast on UPN in April–May 2002.)",60,5/1/2002,"['Drama', 'Crime', 'Supernatural']",Scripted,English,UPN,7.8,['Wednesday'],1,9
Saving Hope,"When Hope Zion Hospital's Chief of Surgery, Charlie Harris ends up in a coma, he finds himself wandering the halls in spirit form. Stuck between worlds, he watches as his fiancée and the staff of the hospital fight to keep patients - and hope - alive.",60,8/3/2017,"['Drama', 'Fantasy', 'Medical']",Scripted,English,CTV,7.8,['Thursday'],5,85
First Wave,"In 1564 Nostradamus predicted the destruction of Earth in 3 terrifying waves. . . The First Wave is here! Cade Foster thought he had seen everything; then he learned of the secrets hidden within the quatrains of the ancient prophet Nostradamus, predictions of an alien invasion that would come in three waves and conquer the human race. The invaders would be known as the Gua, and their conquest was foretold... Or was it? Cade, together with his allies Eddie, Joshua, Jordan, and the Resistance, wage an underground battle to protect Earth's future from the First Wave of the Gua invasion, and to seek out clues hidden in the ancient prophecies, clues that might mean the difference between survival and extinction for all humanity. Can disaster be averted? Can the future be rewritten? Can the Gua be stopped? For Cade Foster, surrender is not an option.",60,2/7/2001,"['Drama', 'Science-Fiction']",Scripted,English,Syfy,7.8,['Wednesday'],3,66
How It's Made,How It's Made is the addictive assembly line series that returns to give viewers an exclusive look at how their favorite items are manufactured. The series visits dozens of factories where raw materials transform into final products in the scope of a 30-minute episode.,30,3/24/2019,['Unknown'],Documentary,English,Discovery,7.8,['Monday'],32,416
Inside Men,Inside Men is a drama series which sees John Coniston working as the manager of a cash counting house who finds himself involved in the middle of an armed robbery. His family are taken hostage and the gang make him open the safe at gunpoint but not everything is as it seems,55,2/23/2012,"['Drama', 'Action', 'Crime']",Scripted,English,BBC One,7.8,['Thursday'],1,4
The Shadow Line,"Series about a murder investigated by both sides of the line, cops and criminals, and the opposing methods they use to solve it. Detective Jonah Gabriel is called to investigate the murder of the head of a major criminal organization. At the same time, an associate of the organization is planning to risk everything he has on one last drug deal. As Gabriel begins to unravel the threads, the web of intrigue becomes more complex.",60,6/16/2011,"['Drama', 'Crime', 'Thriller']",Scripted,English,BBC Two,7.8,['Thursday'],1,7
Watchmen: The Motion Comic,An outlaw superhero's investigation of a possible conspiracy against his colleagues changes all their lives even as evidence builds toward a horrific conclusion.,30,2/23/2009,"['Drama', 'Action', 'Science-Fiction']",Animation,English,Syndication,7.8,[],1,12
Lone Star,"A charismatic, brilliant schemer leads two different lives in two different parts of Texas. In Houston, he goes by Bob Allen and is married to Cat, part of a wealthy oil family. More than 400 miles away, in Midland, he's known as Robert and lives with naive girlfriend Lindsay. Bob's motive is to become part of the oil family with the goal of eventually cleaning it out. But when he fears his secret lives may unravel, Bob puts everything on the line in an attempt to keep his two separate relationships afloat.",60,9/27/2010,['Drama'],Scripted,English,FOX,7.8,['Monday'],1,6
Rush,"USH examines the world of renegade physician Dr. William Rush (Tom Ellis, ""Miranda""), a ""medical fixer"" who privately caters to LA's elite and whose service comes with a hefty price tag. Though the hard-partying doctor claims that he doesn't make judgments about his less-than-squeaky-clean clients, he's not immune to the ugliness that he encounters.",60,9/18/2014,"['Drama', 'Medical']",Scripted,English,USA Network,7.8,['Thursday'],1,10
Bad Girls,"Step inside HMP Larkhall and meet the women of G-Wing, who've committed various offences that range from shoplifting to murder. Bad Girls shows what life is like for these women in the 'inside world' and also shows the real-life problems (and maybe behaviour!) of the officers who watch them!",61,12/18/2006,"['Drama', 'Crime', 'Romance']",Scripted,English,ITV1,7.8,['Thursday'],8,105
Charlie's Angels,"Once upon a time, Jill, Sabrina and Kelly were police officers whose skills were being wasted in menial duties such as answering phones and filing. A mysterious millionaire named Charles Townsend took them away from all that by opening his own private investigation agency and hiring these gorgeous ladies as his operatives with John Bosley acting as their assistant and liaison.",60,6/24/1981,"['Action', 'Adventure']",Scripted,English,ABC,7.8,['Wednesday'],5,115
Anthony Bourdain: No Reservations,"In his Emmy Award winning series, Anthony Bourdain travels the globe to explore the cities, villages and countries that offer life's truest surprises.",60,11/15/2015,"['Food', 'Travel']",Documentary,English,Travel Channel,7.8,['Sunday'],10,177
Ronin Warriors,"After a thousand years of exile, Talpa, ruler of the Netherworld, returns to claim the Earth as his own. The only thing that can stop him and his minions are five young men and their mystical suits of armor.",30,3/4/1989,"['Action', 'Adventure', 'Anime', 'Science-Fiction']",Animation,Japanese,Nagoya Broadcasting Network,7.8,['Saturday'],1,39
Last Man Standing,"Last Man Standing follows Mike Baxter, a married father of three girls, who tries to maintain his manliness, despite being surrounded by women.",30,5/20/2021,"['Comedy', 'Family']",Scripted,English,FOX,7.8,['Thursday'],9,194
Moonlight,"Mick St. John is a captivating, charming- and immortal- private investigator from Los Angeles who defies the traditional blood-sucking norms of his vampire tendencies by using his wit and powerful supernatural abilities to help the living. In a life-altering twist of fate, Mick was ""bitten"" 60 years ago by his new bride, the seductive Coraline. Forever 30 years of age, Mick's as handsome and charismatic as the day he was ""turned,"" and he eschews others of his kind who view humans only as a source of nourishment. With only a handful of like-minded confidantes for company, including the eternally young, wealthy and mischievous Josef, a hedge fund trader who relishes his uniqueness, Mick fills his infinite days protecting the living. But one night years ago, a single act of kindness changed Mick when he saved a young girl's life, making him want to be a better vampire. Now their paths cross again and Mick develops a distinctive bond with Beth Turner who has grown into a beautiful, ambitious Internet investigative reporter. Reconnecting with her unleashes feelings Mick knows he can't pursue without exposing the part of him that would make him a monster in Beth's eyes. As Mick lives between two realities, fighting his adversaries among the undead and falling in love, he discovers the mysteries and pleasures that a valuable life has to offer.",60,5/16/2008,"['Drama', 'Horror', 'Romance']",Scripted,English,CBS,7.8,['Friday'],1,16
VICE,"VICE explores today's most pressing issues, from civil unrest and hotbeds of terrorism, to unchecked government corruption and looming environmental catastrophes.",30,6/25/2023,"['Drama', 'Crime']",News,English,Showtime,7.8,['Sunday'],10,164
Come Fly with Me,Comedy series set in a busy airport written by and starring Matt Lucas and David Walliams.,30,1/27/2011,"['Comedy', 'Travel']",Scripted,English,BBC One,7.8,['Thursday'],1,6
Ben 10: Omniverse,"The series follows the adventures of sixteen-year-old Ben Tennyson, wielder of the Omnitrix, an extremely powerful watch-style device that allows Ben to change into a multitude of various aliens; each with their own special abilities and skills. The storylines alternate between that of eleven-year-old Ben (one year after the original series) and sixteen-year-old Ben (a few months after <i>Ben 10: Ultimate Alien</i>). After Gwen leaves for college and Kevin leaves to be closer to her, Ben gets a new partner, a rookie by-the-book alien plumber named Rook Blonko (surname first). On a mission to explore a secret underground alien city named Undertown, Ben explores the quirkier side of things in the alien underground and discovers that enemies from his past are looking for a rematch.",30,11/14/2014,"['Action', 'Adventure', 'Science-Fiction']",Animation,English,Cartoon Network,7.8,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']",8,80
Justice League Unlimited,"The New Justice League Unlimited consists of Superman, Batman, Wonder Woman, The Flash, Green Lantern, Martian Manhunter and Hawkgirl – they have all saved countless lives from unspeakable dangers, using their unique powers to fight evil on Earth and across the galaxy. And until now, they have all worked alone. But after an alien invasion that took their combined powers to defeat, these seven super heroes unite to become the Justice League.",30,5/13/2006,"['Action', 'Adventure', 'Science-Fiction']",Animation,English,Cartoon Network,7.8,['Saturday'],3,39
The Team,"Criminals don't stop at borders, and neither should the police. The Team portrays a group of European police officers fighting international crime throughout Europe. The series is written by specialists Peter Thorsboe and Mai Brostrøm (The Eagle, The Protectors) – names that guarantee well-grounded and vividly inventive cases with complex, stimulating characters.<i>The Team</i> consists of forensics, legal and IT experts, along with profilers and psychologists; their cases take them to Europe's major cities. The series benefits from Europe's huge cultural diversity and is shot in original languages. It sheds light into the reality of today's organized crime, as well as into the fates behind the crimes. <i>The Team</i> sees to it that justice wins and the victims' dignity is restored.",60,10/7/2018,"['Drama', 'Crime', 'Thriller']",Scripted,German,DR1,7.8,['Sunday'],2,16
Fate/Stay Night: Unlimited Blade Works,Fate/Stay Night: Unlimited Blade Works follows seven mages paired with seven legendary heroes from across history all battling it out for the ultimate prize: the wish-granting holy grail.,26,6/27/2015,"['Action', 'Adventure', 'Anime', 'Fantasy']",Animation,Japanese,Tokyo MX,7.8,['Saturday'],2,26
The Delivery Man,"Newly qualified midwife Matthew Bunting is experiencing a kind of re-birth, having given up his life as a police constable in his mid 30s in the hope of finding something more meaningful.He is too warm and caring to be a cop. Arriving in his first job as a junior midwife at Easthill Park Maternity Unit, Matthew makes an instant impact on his new team members.They are led by recently divorced senior midwife Caitlin, witty and likeable junior midwife Lisa, the extremely no-nonsense senior midwife Pat and naïve trouble-maker Tash.Matthew has company from his former police buddy Ian who gets suspended from the force and lands a job in hospital security, while his nemesis comes in the shape of senior consultant obstetrician Luke Edward.The team have to contend with teenage parents, a ‘double dad' who has two partners in labour, a pregnant prisoner on release, an incognito celebrity, a major theft from the drugs cupboard and an abandoned baby.",30,5/20/2015,"['Comedy', 'Medical']",Scripted,English,ITV1,7.8,['Wednesday'],1,6
Sorcerer Hunters,"On the Spooner Continent, humans are oppressed by evil wizards who rule over them; their only hope lies in the Sorcerer Hunters, five supernatural heroes who fight injustice according to the orders of the goddess-like ""Big Momma."" The improbable quintet at the center of this 1995 broadcast series is a lot less dignified than their title suggests: blond muscleman Gateau Mocha, elegant Marron Glace (pronounced ""GLAYSS,"" rather than ""glah-SAY""), his klutzy brother Carrot (the self-proclaimed ""love machine""), and the Misu sisters, Tira and Chocolate.",30,3/26/1996,"['Action', 'Adventure', 'Fantasy']",Animation,Japanese,TV Tokyo,7.8,[],1,26
The Triangle,"Set against the mysteries of the Bermuda Triangle, this event will focus on a disparate group of professionals, brought together to investigate the dangerous truths behind one of the greatest legends of our time. In The Triangle, billionaire Eric Benirall is losing his cargo ships, and their crews, at a frightening pace-and now, he wants answers. His bemused, handpicked team of subject-specific experts include lead skeptic and tabloid journalist Howard Thomas, ocean resource engineer Emily Patterson, scientist/adventurer Bruce Gellar and psychic Stan Latham. Pulled together with the promise of unlimited funding for their research and the chance for once-in-a-lifetime riches, the team sets out to solve this most daunting of anomalies.When a jetliner disappears over the Triangle, bizarre, un-explainable occurrences begin to affect each member of Benirall's team. When the government takes an alarming interest in their work, our crew is drawn into something far more dangerous than they had believed possible. A research expedition with the promise of riches soon becomes a frantic, head-turning ride through the unstoppable force that is The Triangle.",90,12/7/2005,"['Drama', 'Action', 'Adventure']",Scripted,English,Syfy,7.8,[],1,3
Medical Investigation,"Dr. Stephen Connor and Dr. Natalie Durant are members of a mobile medical team from the National Institutes of Health (NIH) who are summoned in a heartbeat to scope out -- and hopefully snuff out -- outbreaks of unexplained and fearful diseases. When people are suffering from a mysterious and deadly illness which turns them blue, the team must work to put the pieces together to find the source of this potentially deadly epidemic.",60,3/25/2005,"['Drama', 'Thriller']",Scripted,English,NBC,7.8,['Friday'],1,20
Silk Stalkings,"In Palm Beach Florida, crimes of passion are a frequent occurrence among the rich and beautiful. Enter Sgt. Rita Lance and Sgt. Chris Lorenzo the attractive young homicide detectives whose job it is to investigate these high-class murders--or Silk Stalkings, as they call them. Pulsing with illicit affairs, kinky encounters, cold-blooded murders, and their own dark secrets, these are the deadly days and steamy nights of two sexiest cop partners.",60,4/18/1999,"['Drama', 'Action', 'Crime']",Scripted,English,USA Network,7.8,['Sunday'],8,176
Sledge Hammer!,"Meet Inspector Sledge Hammer, a new kind of hero who makes Rambo look like Pee Wee Herman. Sledge is the trigger-happy lawman whose hatred of criminal scum and yogurt eatin' creeps was matched only by his love of excessive force and a .44 Magnum. Over the next two seasons, this hilariously deranged lampoon of Dirty Harry and plenty of other targets became one of the most notorious series in television history and launched a rabid cult of fans that grows to this day.",30,2/12/1988,"['Comedy', 'Action']",Scripted,English,ABC,7.8,['Friday'],2,41
StarTalk,"On StarTalk Host Neil deGrasse Tyson brings together celebrities, scientists and comedians to explore a variety of cosmic topics and collide pop culture with science in a way that late-night television has never seen before. Weekly topics range from popular science fiction, space travel, extraterrestrial life, the Big Bang, to the future of Earth and the environment. Tyson is an astrophysicist with a gifted ability to connect with everyone, inspiring us all to to ""keep looking up"".",60,5/16/2019,['Unknown'],Talk Show,English,National Geographic,7.8,['Thursday'],5,76
Elfen Lied,"Nyu is a babe in the woods.Lucy is a vicious killer.If only they didn t share the same body!A strange girl washes up on shore naked, unable to communicate, scared and alone. Another, a powerful mutant, uses her inhuman telekinetic powers to escape from her prison and leaves a trail of death and destruction behind her. These two couldn t be more opposite...except for the fact that they are both the same person. When two cousins give the strange girl shelter, will they come to realise the deadly secret that lies inside the mind of this horrible monster?",25,10/17/2004,"['Drama', 'Anime', 'Horror', 'Science-Fiction']",Animation,Japanese,AT-X,7.8,['Sunday'],1,13
Maron,"Marc Maron has been a comedian for 25 years. He's had his problems. He was an angry, drunk, self involved, twice divorced compulsive mess for most of his adult life, but with the popularity of a podcast he does in his garage and a life of sobriety, his life and career are turning around. Maron explores a fictionalized version of Marc's life, his relationships, and his career, including his incredibly popular WTF podcast, which features conversations Marc conducts with celebrities and fellow comedians. Neurosis intact, Maron is uniquely fascinating, absolutely compelling and brutally funny.",30,7/13/2016,['Comedy'],Scripted,English,IFC,7.8,['Wednesday'],4,49
Atlantic Convoys: The War at Sea,"The stakes were simple. Win the Battle for the Atlantic, win the war. For six years, an undulating warzone spanning 2,800 miles was the setting for one of the most bitterly fought battles of World War II. German U-boats ravaged convoys of British Canadian supply ships, sending thousands of merchants to a watery grave, along with millions of tons of vital supplies. Britain was cut off and on the brink of surrender, an act that would give Hitler control of Europe. Britain had to somehow turn the tide. The outcome of World War II depended on it.",60,9/20/2009,"['War', 'History']",Documentary,English,Channel 4,7.8,['Sunday'],1,4
Black Work,"Black Work is the story of Jo Gillespie, a woman who's husband is shot dead in the line of action, in his job as a undercover cop. Jo, a police officer herself soon has to confront issues in her marriage and family life in order to discover who really killed her husband.",60,7/5/2015,"['Drama', 'Thriller']",Scripted,English,ITV1,7.8,['Sunday'],1,3
Engrenages,"When the badly beaten body of a young Romanian woman is discovered on a Parisian rubbish dump, the investigation plunges us deep into the murky worlds of prostitution, drugs, business, politics and justice…The investigation is led by Pierre Clément, a young recently-named public prosecutor, who teams up with Police Captain Laure Bathaud and investigating magistrate Judge Roban – three indomitable characters with their own methods, beliefs, demons and visions of justice.As the young woman's identity and past life are gradually uncovered, it soon becomes apparent that her story is tied to a network of corruption touching the very people charged with uncovering the truth about her.",60,10/5/2020,"['Drama', 'Crime']",Scripted,French,Canal+,7.8,['Monday'],8,86
Due South,"An upright Mountie cracks cases alongside a savvy Chicago detective in a wry cult series that playfully deconstructs American and Canadian stereotypes, while providing enough cast chemistry and plot surprises to make this one of the more fondly remembered '90s crime dramas.",60,3/14/1999,"['Drama', 'Crime']",Scripted,English,CTV,7.8,[],4,66
Legit,"This outrageous new comedy stars Australian Jim Jefferies as an edgy, foul-mouthed stand-up comic living in Los Angeles, struggling to make his life and career more ""legit"". But every time Jim tries to do the right thing, his good deeds turn into wildly inappropriate and utterly hilarious escapades. Joined by his neurotic best friend and roommate, Steve, and Steve's wheelchair-bound brother, Billy, Jim takes comedy to a whole new level, whether it's visiting a Las Vegas brothel, partying with the mentally-challenged or trying to pick up women at a gay bar.",30,5/14/2014,['Comedy'],Scripted,English,FXX,7.8,['Wednesday'],2,26
Arvingerne,The death of a matriarch brings forgotten secrets out into the open and causes a prolonged battle for the family inheritance.,60,2/26/2017,['Drama'],Scripted,Danish,DR1,7.8,['Sunday'],3,26
I Dream of Jeannie,"I Dream of Jeannie is an American sitcom with a fantasy premise. The show featured a 2,000-year-old genie and an astronaut who becomes her master, with whom she falls in love and eventually marries.",30,10/20/1991,"['Comedy', 'Fantasy', 'Romance']",Scripted,English,NBC,7.8,['Tuesday'],5,139
Dragon Ball Z,"Part 2 of the Dragonball madness, this story starts when Goku is an adult and introduces him to his Saiyan origin. The main theme of Dragonball Z is fighting although it still retains aspects of the humor and adventure from the previous Dragonball series. Characters develop as they grow, mature, and some even have children! Many of Goku's former enemies become his friend they band together to fight greater evils along the way.",30,12/17/2011,"['Action', 'Adventure', 'Anime', 'Fantasy']",Animation,Japanese,Fuji TV,7.8,['Wednesday'],9,291
Takeshi's Castle,"Welcome to the Takeshi's Castle, a Japanese game show involving 100 to 140 contestants who try to go through a series of silly physical challenges designed to eliminate them. Designed like a live-action Mario game, thousands of people have come to take on Takeshi's Castle to try and win the ¥1,000,000 prize but hardly anyone does! Each episode was filmed over the entire length of the day, with some challenges going well into the night.",30,3/29/2013,"['Comedy', 'Action', 'Family']",Game Show,English,Challenge,7.8,['Friday'],5,128
The Three Stooges,"Watch as Moe, Larry and Curly go through life the only way a stooge can, with laughs and a lot of mischief.",20,6/4/1959,['Comedy'],Scripted,English,Syndication,7.8,[],26,190
Petticoat Junction,"The small farming community of Hooterville provided the setting for this highly successful rural situation comedy. Kate Bradley was the widowed owner of the only transient housing in town, the Shady Rest Hotel. Helping her run the hotel were her three beautiful daughters, Billie Jo, Bobbie Jo, and Betty Jo. Also assisting was the girls' lazy Uncle Joe, who had assumed the title of manager. In addition to her involvement with the hotel, the romantic lives of her daughters, and her association with the townspeople, Kate was constantly at odds with Homer Bedlow, vice-president of the C.F. &amp; W. Railroad. Homer was determined to close down the steam-driven branch of the railroad that ran through Hooterville, scrap its lone engine (the Cannonball), and put its two engineers (Charlie Pratt and Floyd Smoot) out of jobs.",30,4/4/1970,['Comedy'],Scripted,English,CBS,7.8,['Saturday'],7,222
Sky King,"Sky King was a WWII naval aviator-turned rancher, who flies his twin-engine Cessna high above the Arizona plains. Accompanying Sky on his adventures are his nephew, Clipper and his teen niece, Penny. Starring Kirby Grant and Gloria Winters.",30,3/8/1959,"['Action', 'Adventure', 'Western']",Scripted,English,NBC,7.8,['Sunday'],4,72
The Bible,"The Bible comes to life in HISTORY's epic new series. From Genesis to Revelation, these unforgettable stories unfold through live action and cutting-edge computer-generated imagery, offering new insight into famous scenes and iconic characters. Created by producer Mark Burnett and featuring an international cast that includes Roma Downey, this 10-hour docudrama explores the sacred text's most significant episodes, including Noah's journey in the ark, the Exodus and the life of Jesus.",60,3/31/2013,"['Drama', 'Action', 'Adventure']",Scripted,English,History,7.8,['Sunday'],1,10
Jake 2.0,"Jake 2.0 surrounds NSA computer technician Jake Foley who is transformed into a secret agent after he is accidentally infected with nanobots, based on nanotechnology that reduce the size of a computer to the molecular level, which give him superhuman powers. With his new abilities, he can hack into anything electronic and control it. His medical and emotional state is carefully watched over by Dr. Diane Hughes, who is far too human for her job with the NSA. Struggling in his early tasks with the NSA, Jake must prove himself and yield results or be locked up for ""research.""",60,2/6/2004,"['Action', 'Adventure', 'Science-Fiction']",Scripted,English,UPN,7.8,['Wednesday'],1,16
The Widower,"The Widower is a three-part drama from ITV Studios based on the crimes of convicted murderer, Malcolm Webster, played by Reece Shearsmith <i>(Psychoville,</i> <i>The League of Gentlemen,</i> <i>A Field in England</i>).<i>The Widower</i> tells how, over a 13 year period Malcolm Webster set about poisoning and murdering his first wife, attempting to do the same to his second wife and moving on to a further scheme to deceive his third fiancée.",60,3/31/2014,"['Drama', 'Crime', 'Thriller']",Scripted,English,ITV1,7.8,['Monday'],1,3
The Black Donnellys,"The Donnellys are four young working-class Irish-American brothers who live by this motto despite their involvement with organized crime in New York City. Police investigators question Joey Ice Cream, a childhood friend and the unreliable narrator who introduces the Donnelly brothers and sets the scene. Kevin Donnelly is convinced he's lucky, but when his gambling bets add up, his oldest brother Jimmy Donnelly kidnaps the mob-connected bookie Kevin owes money to. When word around the neighborhood connects the Donnellys to the disappearance, Sean Donnelly, the youngest, pays a severe price for sharing his last name. Tommy Donnelly, the reliable one, is forced to make difficult sacrifices for his family when Jimmy's plans fall apart and Sean ends up in the hospital.",60,5/14/2007,"['Drama', 'Crime']",Scripted,English,NBC,7.8,['Monday'],1,13
Hidden,When the mysterious lawyer Gina Hawkes turns up asking Harry to find a missing alibi witness for her client he agrees to take on the job but is unwittingly drawn into investigating the death of his brother 20 years ago. Harry quickly finds himself caught up in a much bigger and more complex conspiracy that reaches deep into the heart of the British political system.,60,10/27/2011,"['Drama', 'Crime', 'Thriller']",Scripted,English,BBC One,7.8,['Thursday'],1,4
The Making of The Mob,The Making of The Mob is a special event miniseries chronicling the historical roots of the original Five Families that led to the formation of the modern American Mafia.,60,8/29/2016,"['Drama', 'Crime', 'History']",Scripted,English,AMC,7.8,['Monday'],2,16
The Outer Limits,"Like the classic 1960's series of the same name, each episode is an imaginative exploration of humanity's greatest hopes and darkest fears and include special guest appearances by Alyssa Milano, Ryan Reynolds, Rae Dawn Chong, Beau Bridges, Rebecca De Mornay and Robert Patrick. Winner of the Cable Ace Award for best Dramatic Series, this Emmy® nominated show deals with the consequences of such controversial and thought-provoking topics as genetic manipulation, alien visitation and life after death.",60,1/18/2002,"['Drama', 'Horror', 'Science-Fiction']",Scripted,English,Syfy,7.8,['Friday'],7,154
The Bletchley Circle,"The Bletchley Circle follows the journey of four ordinary women with extraordinary skills that helped to end World War II.Set in 1952, Susan, Millie, Lucy and Jean have returned to their normal lives, modestly setting aside the part they played in producing crucial intelligence, which helped the Allies to victory and shortened the war. When Susan discovers a hidden code behind an unsolved murder she is met by skepticism from the police. She quickly realises she can only begin to crack the murders and bring the culprit to justice with her former friends.",45,1/27/2014,"['Drama', 'Crime', 'Mystery']",Scripted,English,ITV1,7.8,[],2,7
Hinterland,"From the windswept sand dunes of the coastline to the badlands of the hinterland, this is a detective drama with pace, poetry and scale. A world of Blood, soil and belonging. A place that lives by its own rules: a natural crucible of colliding worlds where history and myth meet the modern and contemporary.Into this world steps DCI Tom Mathias. On the run from his past, a brilliant but troubled man. Having abandoned his life in London, he isolates himself on the outskirts of town – a town filled with secrets as dark and destructive as his own.",107,12/18/2016,"['Drama', 'Crime']",Scripted,Welsh,S4C,7.8,['Sunday'],3,20
Eleventh Hour,"Eleventh Hour follows Dr. Jacob Hood, a brilliant biophysicist and special science advisor to the government as he investigates scientific crises and oddities. His jurisdiction is absolute and Hood is dogged in his pursuit of those who would abuse and misuse scientific discoveries and breakthroughs for their own gain. His passion and crusade is to protect the substance of science from those with nefarious motives. He is called in at the eleventh hour and he represents the last line of defense. Special Agent Rachel Young is the decorated FBI protection officer assigned to watch Hood's back.",60,4/2/2009,"['Drama', 'Science-Fiction', 'Thriller']",Scripted,English,CBS,7.8,['Thursday'],1,18
Scott and Bailey,Scott and Bailey is a crime drama series which follows the personal and professional lives of two female detectives working for the Manchester Metropolitan Police.,60,4/27/2016,"['Drama', 'Crime']",Scripted,English,ITV1,7.8,['Wednesday'],5,33
